name,lat,lon,category
condo438,1.33784148223452,103.864199228389,condo
condo439,1.31669304380828,103.9141414281,condo
condo440,1.31178808445845,103.801494166699,condo
condo441,1.31716428418747,103.827058446439,condo
condo442,1.30070393376469,103.861861081342,condo
condo443,1.3257493113403,103.882621861308,condo
condo444,1.30820970588592,103.89867287524,condo
condo445,1.36189921422964,103.87861280778,condo
condo446,1.30579942993543,103.833074706219,condo
condo447,1.3099817921347,103.852952005462,condo
condo448,1.35563325212442,103.858817438671,condo
condo449,1.31293789129591,103.91205074521,condo
condo450,1.36289802477235,103.879106446851,condo
condo451,1.3048442270371,103.839705299353,condo
condo452,1.30955493460419,103.903168096964,condo
condo453,1.32712408788142,103.952027670182,condo
condo454,1.31106508216983,103.90533900746,condo
condo455,1.316498277754,103.833189243386,condo
condo456,1.37175697361337,103.828179854072,condo
condo457,1.37846253088292,103.957488575516,condo
condo458,1.3064102081429,103.901413831016,condo
condo459,1.38162072114262,103.836219639652,condo
condo460,1.31099479160291,103.893442315049,condo
condo461,1.31783947169965,103.826223650676,condo
condo462,1.35707280748098,103.881090341686,condo
condo463,1.3265665000526,103.636010217327,condo
condo464,1.30190731505382,103.817612215665,condo
condo465,1.30984270610085,103.896599466454,condo
condo466,1.32239181574418,103.918516181243,condo
condo467,1.30116237075932,103.825740911936,condo
condo468,1.35059926733191,103.868514945025,condo
condo469,1.31264875307626,103.900581034415,condo
condo470,1.31127896443187,103.815308534846,condo
condo471,1.31162366725443,103.89091188007,condo
condo472,1.315689968434,103.940308155405,condo
condo473,1.31196084300439,103.885063300564,condo
condo474,1.31649465009912,103.839103883927,condo
condo475,1.31094685388401,103.915733307919,condo
condo476,1.29732760228353,103.83322191012,condo
condo477,1.34295026529862,103.768245398461,condo
condo478,1.32901984483655,103.914196223923,condo
condo479,1.26913483180154,103.814362034784,condo
condo480,1.32826483616522,103.912067534158,condo
condo481,1.36257285737839,103.852539960282,condo
condo482,1.31281106831755,103.855472072451,condo
condo483,1.30319700466564,103.899267198543,condo
condo484,1.30361391565827,103.829242156982,condo
condo485,1.35709630624257,103.965501900375,condo
condo486,1.35178365804951,103.927849913591,condo
condo487,1.31246025168489,103.895202928548,condo
condo488,1.29546726776452,103.835451549198,condo
condo489,1.30943433053408,103.880038714473,condo
condo490,1.31270314378783,103.857112506162,condo
condo491,1.2790614899662,103.848368853255,condo
condo492,1.33040458254512,103.867093216382,condo
condo493,1.38167856743236,103.862815590225,condo
condo494,1.32379616221166,103.792391261313,condo
condo495,1.31336434016643,103.887597407486,condo
condo496,1.31578777361004,103.889959506676,condo
condo497,1.35827540489293,103.877119519016,condo
condo498,1.31274219909117,103.929626538226,condo
condo499,1.31114499548611,103.916123058693,condo
condo500,1.30003153088911,103.797273446935,condo
condo501,1.30375665890104,103.791933300366,condo
condo502,1.31329402369768,103.885213508063,condo
condo503,1.31483389413517,103.848446660151,condo
condo504,1.24935967284368,103.845998682514,condo
condo505,1.29233561786734,103.837549215345,condo
condo506,1.31355578639069,103.904517013271,condo
condo507,1.29650779673362,103.871353882607,condo
condo508,1.356478425661,103.965385495032,condo
condo509,1.31820116513166,103.943110799914,condo
condo510,1.43331358298178,103.751268158788,condo
condo511,1.36005681782249,103.76581067031,condo
condo512,1.31971103411894,103.775102771247,condo
condo513,1.39030426993482,103.859471290687,condo
condo514,1.31711358017871,103.844849772447,condo
condo515,1.30685526429939,103.836843330425,condo
condo516,1.29689177042354,103.839840675332,condo
condo517,1.2991629599519,103.857859536675,condo
condo518,1.42710830386529,103.791921944436,condo
condo519,1.32772188246207,103.848137304369,condo
condo520,1.36423427489596,103.886679056328,condo
condo521,1.38424316316795,103.834339151495,condo
condo522,1.34130342076985,103.953347730205,condo
condo523,1.31297120500789,103.828102208138,condo
condo524,1.32847281017419,103.848358641437,condo
condo525,1.33669549416822,103.867599453466,condo
condo526,1.3245241122412,103.801520418513,condo
condo527,1.34793004288277,103.879782064908,condo
condo528,1.39684272119558,103.746739926711,condo
condo529,1.30406234115253,103.829123652138,condo
condo530,1.31640118993094,103.902512982899,condo
condo531,1.29878089230657,103.826677483859,condo
condo532,1.31238218211805,103.857433134804,condo
condo533,1.30935046456266,103.806952731688,condo
condo534,1.31615491830399,103.840533848314,condo
condo535,1.30013291374093,103.88876823652,condo
condo536,1.31748658236392,103.92160971895,condo
condo537,1.28018119780699,103.784824737346,condo
condo538,1.27588674266836,103.845923793168,condo
condo539,1.31031351887248,103.897656283853,condo
condo540,1.35311560076163,103.8626557772,condo
condo541,1.29619318363539,103.843324619148,condo
condo542,1.32936720206385,103.905791323853,condo
condo543,1.30819273275748,103.838374223228,condo
condo544,1.3062038679567,103.907634092525,condo
condo545,1.32154249881548,103.955535617961,condo
condo546,1.42879898582682,103.781495092242,condo
condo547,1.30987770054417,103.915077496783,condo
condo548,1.35989801289876,103.876938309549,condo
condo549,1.35992152404272,103.763392299233,condo
condo550,1.34180018619223,103.776259359854,condo
condo551,1.3103683207593,103.915953870775,condo
condo552,1.31906972390327,103.846101471001,condo
condo553,1.29221042390056,103.816305335938,condo
condo554,1.37837995394942,103.960914026879,condo
condo555,1.31158587123751,103.895823789036,condo
condo556,1.38594050467522,103.870202565871,condo
condo557,1.279625798918,103.854987203774,condo
condo558,1.29741052327556,103.887510877311,condo
condo559,1.31225007103984,103.805156269965,condo
condo560,1.309847162129,103.907760964095,condo
condo561,1.30058702249257,103.825348219964,condo
condo562,1.30689720823914,103.851653354847,condo
condo563,1.4263720884601,103.825857243294,condo
condo564,1.38101527385214,103.832374524436,condo
condo565,1.31252826827746,103.892025390959,condo
condo566,1.32873367272575,103.864762336397,condo
condo567,1.35244924586092,103.758421056033,condo
condo568,1.36095245463086,103.967963380282,condo
condo569,1.32287512333652,103.863771749512,condo
condo570,1.31474675523302,103.834590248987,condo
condo571,1.31250268727998,103.880368117228,condo
condo572,1.34084242760303,103.773637999482,condo
condo573,1.27712469463822,103.792551001341,condo
condo574,1.30958778399004,103.827607798009,condo
condo575,1.33915405310935,103.871787218052,condo
condo576,1.30775850548969,103.900009540399,condo
condo577,1.307339577796,103.904802283858,condo
condo578,1.31012233674354,103.852814779279,condo
condo579,1.33764156135414,103.918906218067,condo
condo580,1.29881700010487,103.887872844083,condo
condo581,1.33904480982037,103.774300403826,condo
condo582,1.3062554196251,103.847876483186,condo
condo583,1.3153487379872,103.84144796992,condo
condo584,1.35312970286944,103.753892318751,condo
condo585,1.32468844258341,103.825744160137,condo
condo586,1.29743697084042,103.765547285067,condo
condo587,1.30538321577642,103.783180652967,condo
condo588,1.31523307204383,103.807597454835,condo
condo589,1.31143805352617,103.807344002624,condo
condo590,1.30652212866478,103.846587371813,condo
condo591,1.29474541840285,103.84272884954,condo
condo592,1.31914163941165,103.777127110124,condo
condo593,1.34734211793586,103.775864028924,condo
condo594,1.30468470970714,103.901888571632,condo
condo595,1.27388660363944,103.846235542245,condo
condo596,1.29987982178361,103.846414189196,condo
condo597,1.31811016257446,103.922304060986,condo
condo598,1.33791979912857,103.869416262668,condo
condo599,1.33847629111095,103.957156802517,condo
condo600,1.27815684787103,103.787664957924,condo
condo601,1.34489840944008,103.773848162074,condo
condo602,1.34102117952834,103.721486756605,condo
condo603,1.28705859767551,103.82778753198,condo
condo604,1.37976059991781,103.963077852592,condo
condo605,1.34963982805912,103.880190196309,condo
condo606,1.31458588919367,103.836877329386,condo
condo607,1.3539089496685,103.859571530805,condo
condo608,1.34679807171435,103.8799727346,condo
condo609,1.33049714674003,103.888409268781,condo
condo610,1.29407603232889,103.816387213919,condo
condo611,1.35188143616235,103.851266870841,condo
condo612,1.31478575074088,103.82706249682,condo
condo613,1.31058919335556,103.909513431191,condo
condo614,1.30914345592949,103.83757966118,condo
condo615,1.27398407728487,103.846086194903,condo
condo616,1.3283636088892,103.841418362322,condo
condo617,1.36159913009846,103.877967293114,condo
condo618,1.30188910122413,103.901442957552,condo
condo619,1.31916679343629,103.825935494771,condo
condo620,1.31163885880473,103.87683807349,condo
condo621,1.31429426375311,103.841150697585,condo
condo622,1.35423104156605,103.878949285936,condo
condo623,1.31490223556133,103.904709645973,condo
condo624,1.31554107907724,103.890458266408,condo
condo625,1.31164773484524,103.885059930105,condo
condo626,1.3146196512206,103.932237491582,condo
condo627,1.30133624326792,103.828979700445,condo
condo628,1.29734197095829,103.8367416335,condo
condo629,1.29881006027302,103.884350279556,condo
condo630,1.32337432256355,103.850380826925,condo
condo631,1.28093474456197,103.849822465734,condo
condo632,1.32816337851711,103.863446045125,condo
condo633,1.31235667804066,103.800376184273,condo
